Название,Автор,Ссылка,Рейтинг,Количество голосов,Цена,Количество страниц,Количество отзывов,Текст отзывов,Возраст,Год
Программирование для дополнительной и виртуальной реальности,Джеймс Девис,https://www.litres.ru/book/dzheyms-denis/programmirovanie-dlya-dopolnitelnoy-i-virtualnoy-realnosti-70641874/,"5,0",310,690 ₽,Объем 541 страница,5,"['Книга конечно не развлекательного характера, но весьма занимательная. Чтобы был процесс продуктивнее нужно пробовать примеры. ТОгда становится понятнее как что работает.  Иначе как и всегда в программировании можно уснуть. Есть много полезных моментов, главное их увидеть и сложить общую картину в голове.', 'Полистал и понял, что в данной теме стоит немного разобраться. Появляется много нового каждый день и просто иногда не успеваешь. Книга показывает разные направления и возможности в этой области программирования. Можно выделить несколько инструментов рабочих. В скором будущем будет очень актуально.', 'По теме виртуального программирования книг не много, но тема актуальная. Конечно не стоит надеяться, что одна книга сделает из вас профи. Поэтому я этого не ждал. Но после прочтения мне стали понятные некоторые направления, в которых можно развиваться дальше. Хороший обзор возможностей показан на легких примерах.  В таких книгах мне всегда чего-то не достает, и со временем я понял, что это нормально. Всегда ищу инфу дополняющую.', 'Не могу сказать что книга легкая, но и тема не простая. Однозначно много полезного разъяснительного материала и примеры.', 'очень крутая книга, наглядно показывает как устроена и работает основа создания VR и AR. какие используются инструменты и возможности. на мой взгляд, информация очень нужная тем, кто хочет начать или уже работает с этой темой.']",Возрастное ограничение: 12+,Дата написания: 2024
Объектно-ориентированное программирование: с нуля к SOLID и MVC,Григорий Макеев,https://www.litres.ru/book/grigoriy-makeev/obektno-orientirovannoe-programmirovanie-s-nulya-k-solid-i-70980220/,0,,349 ₽,Объем 269 страниц,,[],Возрастное ограничение: 0+,Дата написания: 2024
Создай свой VPN. Безопасное использование интернета,Джейд Картер,https://www.litres.ru/audiobook/dzheyd-karter/sozday-svoy-vpn-bezopasnoe-ispolzovanie-interneta-70425325/,"5,0",1,490 ₽,Длительность книги 9 ч. 21 мин.,,[],Возрастное ограничение: 12+,Дата написания: 2024
IT Компас: как правильно программировать IT-карьеру,Илья Кырчумару,https://www.litres.ru/audiobook/ilya-kyrchumaru/it-kompas-kak-pravilno-programmirovat-it-kareru-70953118/,0,,490 ₽,Длительность книги 6 ч. 10 мин.,,[],Возрастное ограничение: 0+,Дата написания: 2024
Laravel – гайд по выживанию,Nulls,https://www.litres.ru/book/nulls/laravel-gayd-po-vyzhivaniu-69850618/,"4,4",14,"89,90 ₽",Объем 80 страниц,6,"['Книга  представляет собой ценный ресурс для разработчиков, которые хотят узнать больше о фреймворке Laravel. Она предназначена не только для начинающих разработчиков, но и для тех, кто уже имеет некоторый опыт работы с Laravel. Она может быть полезна для любого, кто хочет углубить свои знания и навыки в этой области. В целом - это полезный и информативный ресурс для любого, кто интересуется разработкой на Laravel. Она поможет вам улучшить свои навыки и знания в этой области, а также сделает процесс обучения более интересным и приятным', 'Шикарная книга. Спасибо автору! Нашел ее через youtube канал Web Junior. Всем кто интересуется фреймворком Laravel - советую!', 'Смешные отзывы. Из книги ничего нового и интересного не нашел для себя. Подойдет для тех кто толлько начал, есть книги и материалы куда лучше и бесплатно', 'На самом деле, отличный краткий справочник по созданию каркаса приложения на Laravel. Тот самый вариант, когда все разложено по полочкам и дальше сам уже ковыряйся в глубине сколько хочешь. Книга однозначно для новичков, но уже знающих PHP (с окружением) на базовом уровне.', 'Краткое введение во фреймворк ларавел.Основные темы объясняются простым и понятным языкомНо, хотелось бы побольше информации']",Возрастное ограничение: 12+,Дата написания: 2023
"Волшебный Python. Сказка для детей и новичков, с наглядным и ясным кодом",Артем Демиденко,https://www.litres.ru/book/artem-demidenko/volshebnyy-python-skazka-dlya-detey-i-novichkov-s-naglyadn-71013385/,"5,0",1,199 ₽,Объем 70 страниц,,[],Возрастное ограничение: 0+,Дата написания: 2024
Программируемые контроллеры. Стандартные языки и приемы прикладного проектирования,И. В. Петров,https://www.litres.ru/book/igor-petrov-2/programmiruemye-kontrollery-standartnye-yazyki-i-priemy-prik-8336941/,"3,9",14,400 ₽,Объем 255 страниц,2,"['книжка 2010 года, что о ней сказать в 2022-м?.. обо всем и ни о чем. не читайте это, читайте мануалы к оборудованию, желательно в оригинале.', 'Отличный материал, все понятно доступно. Книга будет полезна начинающим прикладным программистам вне зависимости в каком программно-техническом комплексе вы начинаете работать']",Возрастное ограничение: 0+,Дата написания: 2010
Основы программирования на языке Python,Н. Ю. Боклаг,https://www.litres.ru/book/n-u-boklag/osnovy-programmirovaniya-na-yazyke-python-17004921/,"3,8",8,400 ₽,Объем 92 страницы,,[],Возрастное ограничение: 0+,Дата написания: 2014
Робототехника. Конструктор SPIKE. 5–8 классы. Учебное пособие,Д. Г. Копосов,https://www.litres.ru/book/d-g-koposov/robototehnika-konstruktor-spike-5-8-klassy-uchebnoe-posobie-66645350/,"4,8",8,450 ₽,Объем 177 страниц,2,"['Очень удобная и интересная книжка для меня и моих кружковцев. Красочные иллюстрации, понятное, интересное и увлекательное описание делают эту книгу незаменимым помощником как для самостоятельных занятий, так и для кружковой работы по основам робототехники.Мои ребята были в восторге, когда увидели первые страницы на большом классном мониторе. В общем, очень полезное и нужное учебное пособие. Тем более, что это пока единственная работа отечественных авторов по Spike Prime.', 'Хорошее пособие. Красиво оформлено, много иллюстраций, информация по теме. Шрифт удобный для чтения, можно заниматься по нему и самостоятельно']",Возрастное ограничение: 6+,Дата написания: 2021
Mac OS X Snow Leopard. Основное руководство,Дэвид Пог,https://www.litres.ru/book/devid-pog/mac-os-x-snow-leopard-osnovnoe-rukovodstvo-24499630/,"3,7",3,390 ₽,Объем 882 страницы,,[],Возрастное ограничение: 0+,
Impact mapping: Как повысить эффективность программных продуктов и проектов по их разработке,Гойко Аджич,https://www.litres.ru/audiobook/goyko-adzhich/impact-mapping-kak-povysit-effektivnost-programmnyh-produkto-51242157/,"3,7",45,499 ₽,Длительность книги 2 ч. 23 мин.,7,"['Очередная книга в «американистикой» стиле, в которой многократно с кучей примеров описывается только одна мысль, в данном случае «правильно поставь цель/задачу»', 'Очень расплывчато. Глава «Итеративная разработка» очень характерна в этом плане. 1 абзац вроде бы о том что такое итеративная разработка, 3 о то что этого недостаточно и описание причины, 5 о том что данная методология позволяет эту проблему решить, только вот ни слова о том как нет.', 'Чёт такое себе :(Очень абстрактная книга, ни одного примера, кроме «рассылки игрокам», ощущения смешанные, поэтому только 3 звезды.На мой взгляд, больше похоже на рекламу подхода impact map, а не про его использование. «Самый лучший подход», «поможет решать», «вы избавитесь от проблем», а почему, как – непонятно -_-', 'Impact Mapping является одной из активностей, которые сделают и заказчиков и разработчиков более счастливыми и эффективными. Книга для введения в эту технологию написана консультантом по стратегиям разработки ПО, и довольно легко читается. Рекомендую для тех кто только планирует изучать impact mapping и какую пользу он может принести вашему проекту. Для более опытных специалистов хотелось бы добавить еще достойных примеров применения этой методики, подробных кейсов с разбором разных ситуаций и т.д.', 'Может, я что-то не понимаю, но похоже на вебинар, целью которого является рекламирование какого-либо продукта. Озвучено качественно']",Возрастное ограничение: 12+,Дата написания: 2012
Программирование для Android,Денис Колисниченко,https://www.litres.ru/book/denis-kolisnichenko/programmirovanie-dlya-android-5582097/,"3,8",16,384 ₽,Объем 285 страниц,5,"['вот уже полгода пытался найти что-нибудь подходящее для изучения основ программирования андроид. и всегда в пособиях чего-то не хватало, а именно как на практике решить проблемы с запуском и отладкой приложений, все статьи в нете как под копирку, и ни слова о решениях возникших проблем. но эта книга – настоящая находка для начинающих. все в ней четко и доступным языком описано с большим количеством практических примеров, которые не только работают, но и детально разобраны. так что всем начинающим андроид-программистам рекомендую.', 'О книгеКнига очень классная. Хотя некоторые вещи (в частности, использованные в книге средства разработки) на сегодняшний немного устарели (вышли свежие версии), сути это не меняет. Если хотите научиться программировать для Андроид, и не знаете, с чего начать, то начните с этой книги.', 'Книга очень полезна для программирования, написано доходчивым языком. Версии немного устаревшие, но разобраться можно.В общем книга мне очень понравилась. Советую всем кто желает начать программировать.', 'Это уже вторая книга автора, которую я здесь купил. Несомненные плюсы, по моему мнению, заключаются в плавном погружении в тему. Хотя, читателям без навыков программирования, будет сложно. Согласен, что на 2015 год материал устарел, сама установка среды программирования усложнилась. Однако, опираясь на базовые принципы, описанные в книге, можно все сделать. У меня возникли затруднения только при установке всех компонентов эмулятора на Windows. Тут отошел от книги, а само программирование для платформы Android изложено очень доступно.', 'Книга хорошая. Также присоединюсь к предыдущим отзывам: уже устаревшая, не все что описано будет работать. Автор описывает особенности новой (на год верстки) если не ошибаюсь версии android 9. Пишет толково, дает характеристику аппаратного обеспечения используемого в мобильных устройствах. Рекомендую для начинающих. Надеюсь автор внесет коррективы в новую редакцию.']",Возрастное ограничение: 0+,Дата написания: 2020
С нуля до Python-разработчика,Фин Дерт,https://www.litres.ru/book/fin-dert/s-nulya-do-pitonista-68753790/,"3,5",15,299 ₽,Объем 24 страницы,5,"['Книга отличная!Для тех, кто хочет познакомиться с основами Python будет однозначно полезна. Не перегружена специальной терминологией, думаю даже ребёнок разберётся, благодарю автора!', 'Такое чувство, что написал шестиклассник, изучавший язык программирования пару дней. Ошибки грамматические, фактические. В общем, не стоит тратить деньги и время.', 'Отличная книга. Описывает основы максимально простыми словами и без сложных терминов. Смотрел уроки на ютубе, но ничего не понял. С книжкой смог понять некоторые азы. Теперь намного легче смотреть видосы на ютубе', 'самое то, для новичков в питоне. она рассказывает о базовых возможностях и заглядывает чуть глубже. однако может оказаться весьма короткой', 'Интересно, насколько хорошо автор книги знает Python? О каком ограничении значения int вообще может идти речь? Это ведь не Python 2!!! Это там значение int (integer или целочисленнное) ограниченно числом 2^32, а дальше пошёл тип long. Максимальное значение в типа данных integer, как и любого другого типа данных в Python 3, ограничено размером оперативной памяти.  Типа long в Python 3 вообще нет... Python объектно-ориентированный язык и в нём нет примитивов как в C, C++, Java или в C#. В Python всё типы данных это объекты того или иного класса данных, который определяет как допустимые значения, так и операции (методы работы) с ними. Понимаю, что ребёнку это вначале знать не нужно, но не нужно его вводить в заблуждение о максимальном значении типа данных integer... Казалось бы мелочь, но из таких мелочей и состоит понимание языка. Попробуйте магию языка Python, создайте переменную и сохраните в ней значение 2, например, в миллионной степени. И вы получите значение переменной int и число просто немысленных размеров, которое математика считает приближенным к бесконечности, а Python вычесляет (если хватает мощности вашего компьютера)))']",Возрастное ограничение: 12+,Дата написания: 2022
Самоучитель игры на Паскале. ABC и немного Турбо,Н. Ю. Комлев,https://www.litres.ru/book/n-komlev/samouchitel-igry-na-paskale-abc-i-nemnogo-turbo-8342572/,"3,7",3,300 ₽,Объем 257 страниц,2,"['Хорошая книгаКлассная книга! Хороший автор! Pascal очень популярен в школах как учебный язык. Материала для обучения языку очень много, но этот материал хорошо подобран, написан интересным, понятным языком! Рекомендую учителям, школьникам и всем тем, кто хочет научиться с 0 программировать!', 'Автор звучит как человек, который знает предмет о котором пишет. Стиль написания выбран как бы не серьёзный, с шутками-прибаутками. Думаю что это неплохая книга для начально-ознакомительного введения в программирование и первичного знакомства с языком программирования Паскаль.']",Возрастное ограничение: 0+,Дата написания: 2013
Основы нейросетей,Константин Константинович Берлинский,https://www.litres.ru/audiobook/konstantin-konstantinovich-berlinskiy/osnovy-neyrosetey-68485798/,"3,7",3,299 ₽,Длительность книги 5 ч. 47 мин.,,[],Возрастное ограничение: 12+,Дата написания: 2020
Java в примерах. Справочник. 2-е издание,Дэвид Флэнаган,https://www.litres.ru/book/devid-flenagan/java-v-primerah-spravochnik-2-e-izdanie-24499870/,"4,3",9,290 ₽,Объем 638 страниц,,[],Возрастное ограничение: 0+,
Delphi. Профессиональное программирование,Дмитрий Осипов,https://www.litres.ru/book/dmitriy-osipov/delphi-professionalnoe-programmirovanie-24500182/,"3,6",5,290 ₽,Объем 1055 страниц,,[],Возрастное ограничение: 0+,Дата написания: 2006
Java и XML. 2-е издание,Бретт Мак-Лахлин,https://www.litres.ru/book/brett-mclaughlin/java-i-xml-2-e-izdanie-24500198/,"4,3",7,290 ₽,Объем 547 страниц,1,"['И опять пригодилась книга написанная так давно (по айти меркам), а пригодилась, потому что все уже основное по работе с xml заложено тогда, да и книг из современных по нему, чтоб толковых и подробных с описанием применения маловато конечно, так что имейте в виду.']",Возрастное ограничение: 0+,
Программирование на языке ассемблера,Д. В. Лисицин,https://www.litres.ru/book/daniil-lisicin/programmirovanie-na-yazyke-assemblera-48433271/,"5,0",4,144 ₽,Объем 100 страниц,,[],Возрастное ограничение: 0+,Дата написания: 2018
Введение в информационные технологии и программирование на языке C в среде VS C++,Ю. Е. Алексеев,https://www.litres.ru/book/andrey-kurov/vvedenie-v-informacionnye-tehnologii-i-programmirovanie-na-ya-70399681/,0,,288 ₽,Объем 101 страница,,[],Возрастное ограничение: 0+,Дата написания: 2018
Знакомство с разработкой мобильных приложений на платформе «1С:Предприятие 8». Издание 3 (+ 2epub),Е. Ю. Хрусталева,https://www.litres.ru/book/e-u-hrustaleva/znakomstvo-s-razrabotkoy-mobilnyh-prilozheniy-na-platforme-40928675/,"4,2",9,350 ₽,Объем 274 страницы,3,"['Все мы знаем, как в современном мире важны мобильные технологии. Данная книга на одном конкретном примере рассматривает весь спектр наиболее интересных возможностей платформы 1С на мобильном устройстве.', 'Книга подойдет ка опытному программисту 1с,так и начинающим.Большое количество иллюстраций делает работу с книгой доступной и приятной. Рекомендую.', 'Настольная книга для только что пришедших в мир 1С программирования. Написана просто, без лишней академичности. Обилие примеров и иллюстраций делают ее понятной даже ребенку.']",Возрастное ограничение: 12+,Дата написания: 2022
"Учимся вместе со Scratch. Программирование, игры, робототехника",В. В. Тарапата,https://www.litres.ru/book/viktor-tarapata/uchimsya-vmeste-so-scratch-programmirovanie-igry-robototeh-39829280/,"4,8",6,376 ₽,Объем 231 страница,2,"['Очень интересная подача материала, а главное – руководство по созданию игр. Ребенок с удовольствием программирует и играет в собственносозданные игры.', 'Я ни разу не пожалела о покупке книги (приобрела бумажный вариант). Все конструктивно и без «воды» – пошагово и последовательно изложено, как того требует алгоритмизация. Я приобрела книгу, как пособие для преподавания, так как решила обучать ещё и малышей программированию. Почему выбор пал на язык Scratch объяснять не буду. Яркие примеры и небольшие предъистории перед созданием скриптов для игр настолько мотивируют, что хочется ещё и ещё. Мне очень приятно, что это пособие можно приспособить под ОС Linux, так как в книге рассматривается версия Scratch 2.0.']",Возрастное ограничение: 6+,Дата написания: 2023
Создаем игры с Kodu Game Lab,К. И. Астахова,https://www.litres.ru/book/k-i-astahova/sozdaem-igry-s-kodu-game-lab-39829273/,"4,7",14,280 ₽,Объем 125 страниц,1,"['Купила книгу и рассчитывала, что будет подробное объяснение каждого шага и проекта.По факту как в институте: объяснение и делайте задание. А если вы не знаете как, это Ваши проблемы.']",Возрастное ограничение: 6+,Дата написания: 2023
Введение в Elixir. Введение в функциональное программирование,Симон Сенлорен,https://www.litres.ru/book/devid-eyzenberg/vvedenie-v-elixir-vvedenie-v-funkcionalnoe-programmirovani-27068717/,"4,2",6,559 ₽,Объем 264 страницы,1,"['Книга хороша, сейчас мало что есть из книг по elexir. Однако…Нельзя скачать :( Только в онлайне, что крайне неудобно и сводит на нет покупку.Поэтому ставлю три звезды (книга + услуга)']",Возрастное ограничение: 0+,Дата написания: 2017
Искусственный интеллект. Машинное обучение,Джейд Картер,https://www.litres.ru/audiobook/dzheyd-karter/iskusstvennyy-intellekt-mashinnoe-obuchenie-70494385/,"5,0",3,690 ₽,Длительность книги 18 ч. 58 мин.,,[],Возрастное ограничение: 12+,Дата написания: 2024
Идеальный программист. Как стать профессионалом разработки ПО,Роберт Мартин,https://www.litres.ru/book/robert-s-martin/idealnyy-programmist-kak-stat-professionalom-razrabotki-po-11961798/,"4,5",191,449 ₽,Объем 247 страниц,27,"['Хорошо но малоКнига – истинный кладезь премудрости для оптимистов и набор банальностей для пессимистов. Содержит довольно много очевидных на первый взгляд вещей, которым придает рельеф и объем проверка на личном опыте автора. Очень удачное описание основного преимущества TDD. Несколько странная точка зрения на полную финансовую ответственость профессионала. Довольно забавное описание перехода из начальника отдела разработки в консультанты. В целом польза не слишком велика, но и времени, и денег эта книга потребует от читателя очень немного.', 'Автор книги широко подошел к теме профессионализма в разработке программного обеспечения: начиная с того как разговаривать и вести себя с начальником или коллегой, как искать выходы из кризисных ситуаций, как вести разработку программного обеспечения через тестирование и заканчивая принципами управления временем. Не стоит ожидать от книги полного руководства с детальными инструкциями о том, как стать профессионалом в написании миллионов строчек кода своего собственного «стартапа», или как найти работу программиста своей мечты… К этой книге стоит относиться как к рассказу программиста, прошедшего эту «кухню» с 70-х до наших дней, который решил поделиться своим опытом, для того, чтобы как можно меньше людей наступало на те же «грабли».', 'Интересная книга .Автобиография и карьера автора , взгляд на профессию изнутри . Почти нет технических знаний . Книгу надо отнести к жанру художественной литературы .', 'Полезная книга. Я как начинающий программист, узнал много моментов, о которых я даже сейчас и не думаю. Так же есть алгоритмы, как действовать в той или иной ситуации. В общем, книга была полезной. ', 'Очень интересно читать примеры из молодости автора, когда инструменты и технологии были только в зачатке.Основная мысль – ответственностьАвтор ввел термин «пассивно-агрессивный подход», это защитное заклинание от черной магииКнига безусловно соответствует ее названии. Ожидание соответствует содержанию']",Возрастное ограничение: 12+,Дата написания: 2011
Разработка обслуживаемых программ на языке С#,Джуст Виссер,https://www.litres.ru/book/dzhust-visser/razrabotka-obsluzhivaemyh-programm-na-yazyke-s-22873450/,"4,5",6,359 ₽,Объем 194 страницы,1,"['В книге легко и подробно объясняется, как нужно писать чистый код. Простые правила, которых следует придерживаться, могут применить на практике и новички']",Возрастное ограничение: 0+,Дата написания: 2016
Программирование на языке MQL5 от основ до индикаторов и экспертов,Дмитрий Федосеев,https://www.litres.ru/book/dmitriy-fedoseev-298/programmirovanie-na-yazyke-mql5-ot-osnov-do-indikator-64831712/,"1,9",7,299 ₽,Объем 406 страниц,3,"['Книга – норм. Мне, как совсем начинающему, по-тихоньку помогает.Но почему нельзя скачать?? Только в браузере либо в приложении на телефоне. Раз уж дали такую возможность авторам блюсти свои права, дайте и читателям возможность хотя бы закладки ставить. Каждый раз приходится с самого начала искать. Даже у бумажных изданий есть возможность использовать закладки', 'Книгу нельзя скачать и читать в удобной для себя читалке. Читать её в браузере вообще неудобно. Если хотите мучиться прогружать книгу в браузере и при каждом входе в аккаунт вновь появляться на первой странице книги и икать где же вы остановились на какой странице в прочтении, то эта книга для вас. Очень жаль Литрес, что у вас такой неудобный сервис для чтения.', 'Читать её в браузере вообще неудобно дайте и читателям возможность хотя бы закладки ставить. Каждый раз приходится с самого начала искать']",Возрастное ограничение: 16+,Дата написания: 2020
101 совет начинающим разработчикам в системе «1С:Предприятие 8» (+ 2epub),Е. Ю. Хрусталева,https://www.litres.ru/book/e-u-hrustaleva/101-sovet-nachinauschim-razrabotchikam-v-sisteme-1s-predpri-40932103/,"4,9",13,250 ₽,Объем 214 страниц,4,"['Если есть на свете еще советы то это инфостарт, ИТС и Хрусталева с Радченко. Вообщем покупайте любую книгу Хрусталевой и вы не пожалеете. Это ТОП литературы по 1С', 'Реально интересная и практичная книжка. Просто сборник рецептов. Держу всегда под рукой, так как есть примеры, которые реально помогли избавиться от рутинной работы.', 'На мой взгляд очень хорошая книга для начинающего, но так же может быть полезна и тем кто уже давно занимается разработкой. В книге рассмотрены не только элементарные вещи, но и даются советы по правильной разработке, что в будущем поможет сохранить не только время, но и нервы.', 'Есть много нового даже для не начинающего программиста 1С. Полезные советы, которые не освещались нигде в книгах или курсах.']",Возрастное ограничение: 12+,Дата написания: 2015
Робототехника. Управление квадрокоптером. 8–11 классы. Учебное пособие,Д. Г. Копосов,https://www.litres.ru/book/d-g-koposov/robototehnika-upravlenie-kvadrokopterom-8-11-klassy-uchebnoe-p-66645348/,"5,0",7,375 ₽,Объем 129 страниц,,[],Возрастное ограничение: 12+,Дата написания: 2021
1С:Счетчик ворон. Мастер-класс по мобильной разработке в среде «1С:Предприятие» (+ epub),Айгуль Султанова,https://www.litres.ru/book/aygul-sultanova/1s-schetchik-voron-master-klass-po-mobilnoy-razrabotke-v-s-68298742/,"5,0",13,300 ₽,Объем 215 страниц,7,"['1С:Счетчик ворон. Мастер-класс по мобильной разработке в среде «1С:Предприятие». Книга для разработчиков написанная двумя авторами: Султанова Айгуль Ильдусовна, Шаронова Алёна Альфредовна.Очень интересная тема издания. Она рекомендуется для всех начинающих программистов, которые хотят научится создавать мобильные приложения на 1С.Цель приложения: оценить количество редчайших ворон. Благодаря программе, можно: фиксировать факт встречи с каждой новой особью, объединять свои данные с наблюдениями других членов команды, хранить и анализировать собранную информацию.В целом издание понравилось.', 'Благодарю авторов!Методичка оказалась очень полезной, все подробно пошагово расписано,понятным языком сказано, как организовать рабочее пространство. На нее навел преподаватель с нашего ВУЗа, являюсь студенткой НЧИ КФУ, рада, что познакомили с вашей работой. Буду ждать от вас еще больше пособий!', 'Вся информация разложена чётко и ясно! Помогает разобраться в большинстве основных моментах программы. Отлично подходит для начала практики работы в 1С, особенно для студентов.', 'ВАУ, книга просто супер!!! :)В книге описан весь материал для разработки мобильного приложения в 1с. Это хорошая методичка для начинающих разработчиков.', 'Сам изучаю 1С и решил попробовать эту книгу. Объяснение кода ограниченовстроено, все просто и понятно и при этом интересно. Нет долгих теоретических отступов, я в востороге. Не жалею.']",Возрастное ограничение: 0+,Дата написания: 2022
JavaScript и AJAX в Web-дизайне,Владимир Дронов,https://www.litres.ru/book/vladimir-dronov/javascript-i-ajax-v-web-dizayne-6991132/,"4,7",3,319 ₽,Объем 718 страниц,1,"['Отличное книга. Рекомендуется всем, как новичкам, так и опытным программистам. В своё время использовал как букварь и первую книгу по теме, зашла отлично. Поставлю оценку четыре, так как давно пора выпускать 3е издание.']",Возрастное ограничение: 0+,Дата написания: 2008
Проектирование автоматизированных систем обработки информации и управления (АСОИУ),Я. А. Хетагуров,https://www.litres.ru/book/ya-a-hetagurov/proektirovanie-avtomatizirovannyh-sistem-obrabotki-informac-6602170/,"4,8",6,364 ₽,Объем 243 страницы,,[],Возрастное ограничение: 0+,Дата написания: 2020
Метавселенная. Как она меняет наш мир,Мэтью Болл,https://www.litres.ru/audiobook/matthew-ball/metavselennaya-kak-ona-menyaet-nash-mir-68949237/,"4,2",13,599 ₽,Длительность книги 13 ч. 44 мин.,2,"['Книга понравилась. Автор очень увлекательно и интересно рассказывает о том, что ждет нас в скором будущем касательно научного прогресса и интернет развития.', 'Микаэлла, вам кажется, что такой суррогат не усилит психозы и т.п. от депривации кучи рецепторов и упрощения воспринимаемого, крайнего несовершенства своего тела по сравнению с нереалистичным ""идеалом""? Жертв последнего полно и сейчас, включая любителей фитнеса, комиксов и ""кино для взрослых"".Близко к теме:   книги ""От микроорганизмов до мегаполисов"" Смил, ""Парадоксы эволюции"" Макарушин, ""Язык тела"" Бутовская, ""Как микробы управляют нами"" Йонг,   сериалы ""Мозг с Дэвидом Иглменом"" и ""Физика невозможного с Митио Каку"". Свежее видео про устойчивость к антибиотикам как древний пропуск в закрытый клуб для представителей разных видов и царств живого – ""Antibiotic Resistance is SO COMPLICATED"" 20.01.2023 SciShow https://youtu.be/pkTalaQsRlwВырабатывающий антибиотик имеет и ген противоядия, которым может делиться, платить за услуги. Это продолжается миллионы лет, так что к природным антибиотикам устойчивость у многих симбиотов их производителей. Возможный вывод: имеет смысл использовать антибиотики для корректировки микробиома, например, давать пациенту тот, к которому устойчивы полезные ему микроорганизмы. Они даже могут следовать по градиенту (""на запах"") антибиотика.Тот же Макарушин в книге до такого не дошёл (мог и не знать), хотя упомянул о кооперации вирусов, бактерий и грибов. Там медицинские выводы таковы: 1) гормезис (полезный стресс); 2) минимизация психологической руминации (зацикленности на бедах) и улучшение взаимоотношений (вроде ""эффективного альтруизма""); 3) создание как можно более разнообразного микробиома (чтобы патогенам не было места и не активировалось ""чувство кворума""); 4) ограничение химиотерапии, чтобы не провоцировать мутации ускоряющие рост рака.Напомню: я не врач и мог что-то не так понять. К тому же всё всегда сложнее, чем кажется. О том и видео.', 'про игры сказать ничего не могу, тут я не особо осведомлена. но в гл 9 расписана розничные продажи прям как в Белоруссии уже реализовано, только без консультантов из метавселенной с навязыванием покупок. полностью автоматизированная розница, без кассиров. да, и в России уже есть такие технологии. например, в главе 10 про платежные системы так это у нас давно уже. дальше конечно послушаю. но пока ничего из будущего не вижу.']",Возрастное ограничение: 16+,Дата написания: 2022
